municipio;cpr;unidade;status
Santanópolis;CPR-L;97ª CIPM/IRARÁ;MAPEADO
Santa Rita de Cássia;CPR-O;86ª CIPM/FORMOSA DO RIO PRETO;MAPEADO
Santa Terezinha;CPR-CH;11º BPM/ITABERABA;MAPEADO
Santo Amaro;CPR-R;20ª CIPM/SANTO AMARO;MAPEADO
Santo Antônio de Jesus;CPR-R;14º BPM/SANTO ANTÔNIO DE JESUS;MAPEADO
Santo Estêvão;CPR-L;57ª CIPM/SANTO ESTEVÃO;MAPEADO
São Desidério;CPR-O;27º BPM/LUÍS EDUARDO MAGALHÃES;MAPEADO
São Domingos;CPR-NE;16º BPM/SERRINHA;MAPEADO
São Félix;CPR-R;85ª CIPM/CACHOEIRA;MAPEADO
São Félix do Coribe;CPR-O;30ª CIPM/SANTA MARIA DA VITÓRIA;MAPEADO
São Felipe;CPR-R;14º BPM/SANTO ANTÔNIO DE JESUS;MAPEADO
São Francisco do Conde;CPRMS;26º BPM/CANDEIAS;MAPEADO
São Gabriel;CPR-CN;7º BPM/IRECÊ;MAPEADO
São Gonçalo dos Campos;CPR-L;67ª CIPM/FEIRA DE SANTANA;MAPEADO
São José da Vitória;CPR-S;62ª CIPM/CAMACAN;MAPEADO
São José do Jacuípe;CPR-CH;91ª CIPM/CAPIM GROSSO;MAPEADO
São Miguel das Matas;CPR-R;99ª CIPM/AMARGOSA;MAPEADO
São Sebastião do Passé;CPRMS;26º BPM/CANDEIAS;MAPEADO
Sapeaçu;CPR-R;27ª CIPM/CRUZ DAS ALMAS;MAPEADO
Sátiro Dias;CPR-LN;4º BPM/ALAGOINHAS;MAPEADO
Saubara;CPR-R;20ª CIPM/SANTO AMARO;MAPEADO
Saúde;CPR-CH;29º BPM/JACOBINA;MAPEADO
Seabra;CPR-CH;29ª CIPM/SEABRA;MAPEADO
Sebastião Laranjeiras;CPR-MO;17º BPM/GUANAMBI;MAPEADO
Senhor do Bonfim;CPR-N;6º BPM/SENHOR DO BONFIM;MAPEADO
Serra do Ramalho;CPR-MO;38ª CIPM/BOM JESUS DA LAPA;MAPEADO
